aircraft_id,component_id,flight_cycles,engine_hours,temperature_sensor_1,temperature_sensor_2,vibration_sensor,pressure_sensor,fault_code_count,last_maintenance_cycles,maintenance_log_flag,sensor_drift_flag,ambient_temperature,humidity,failure_within_10_cycles
AC00,Engine2,1,1.992125395,84.94639139,92.03033615,0.5514656528,97.303118,2,0,0,0,27.41962272,31.30079633,0
AC00,Engine2,5,2.549781457,77.87199913,93.3075083,0.8953529339,99.23612571,1,0,0,0,13.49006423,65.63547028,0
AC00,Engine2,8,3.08294386,89.87392231,97.54600554,0.9706065781,99.30517754,1,0,0,0,33.22544912,41.68734525,0
AC00,Engine2,10,4.645833547,90.70781241,86.45926617,0.6428863631,96.108523,1,0,0,0,27.6348604,84.62656674,0
AC00,Engine2,14,6.037716863,91.67455465,82.85443813,0.9085101144,97.6767731,0,0,0,0,34.30584401,70.16651115,0
AC00,Engine2,17,6.722828493,85.5581647,89.53033679,1.18746992,105.494474,1,0,0,0,9.258447131,69.56929415,0
AC00,Engine2,20,8.403365806,91.19330437,89.17387216,0.9342074187,107.5497797,2,0,0,0,24.40182736,74.4176065,0
AC00,Engine2,21,10.17479253,88.68947914,93.2733203,1.345723642,97.98774224,0,0,0,0,27.5711687,64.71769344,0
AC00,Engine2,25,11.7160674,88.02296711,95.31253856,1.061848325,95.54603339,1,0,0,0,-1.551760476,65.18276916,0
AC00,Engine2,26,13.94715749,84.80232556,87.73746186,0.8187737626,96.73961357,0,0,0,0,35.86727023,75.07480321,0
AC00,Engine2,27,15.15925872,91.74875449,88.12517894,0.9019658054,101.0069721,0,0,0,0,44.65034764,30.90133172,0
AC00,Engine2,30,17.33959759,86.71017656,98.49425103,0.7405807988,106.6369297,1,0,0,0,25.99651365,52.44786519,0
AC00,Engine2,33,18.39020021,93.51813384,96.88733694,0.7776150722,98.4893004,0,0,0,0,33.13517217,41.53703525,0
AC00,Engine2,35,21.34562107,80.2104014,91.01034452,1.252291278,100.9105966,2,0,0,0,27.5049285,65.19672314,0
AC00,Engine2,39,23.97294219,96.13576344,101.5115688,0.9942484644,99.50577463,0,0,0,0,15.2531833,71.80626906,0
AC00,Engine2,40,24.91999896,95.34597,87.40112485,0.8958884284,105.4048438,2,0,0,0,37.09381971,68.06940006,0
AC00,Engine2,42,27.03275737,94.23901959,94.2004182,1.059758372,91.97148949,2,0,0,0,31.06129363,30.83655609,0
AC00,Engine2,45,29.94180731,87.95178258,94.39036244,1.226432326,98.48195013,2,0,0,0,16.16142564,62.30587659,0
AC00,Engine2,49,32.1196661,83.8901517,87.37237569,0.6147112292,94.31866048,0,0,0,0,9.485660559,52.34260171,0
AC00,Engine2,53,34.90276748,92.80753459,111.4750746,0.998921565,104.927444,1,0,0,0,26.65022798,47.16106623,0
AC00,Engine2,55,36.22314915,92.30954872,92.85879804,1.125841552,89.96300115,0,0,0,0,48.89035957,87.65120637,0
AC00,Engine2,58,37.06903188,82.68860942,84.04056433,0.7950655138,104.0411034,1,0,0,0,28.17767032,35.81659039,0
AC00,Engine2,62,38.02619688,89.59244581,97.10194463,1.353854109,100.4942842,0,0,0,0,22.62608039,88.08008521,0
AC00,Engine2,64,40.43460793,88.79680312,99.07189784,1.409781217,97.2751345,1,0,0,0,25.58508902,95.21995393,0
AC00,Engine2,65,42.28305155,93.82876198,99.96751372,1.116935399,104.8646913,1,0,0,0,36.37017419,66.70335217,0
AC00,Engine2,69,45.04642816,90.2800076,90.42480686,0.9555334042,96.6767831,1,0,0,0,14.57038606,79.89707502,0
AC00,Engine2,72,47.74010819,95.93473449,97.17376465,0.7726764762,97.39049453,0,0,0,0,29.92141034,37.08821061,0
AC00,Engine2,75,50.56700151,89.54444642,94.78889384,0.9194239552,104.0292821,0,0,0,0,19.10347143,55.52548165,0
AC00,Engine2,79,51.09409564,92.74437354,93.92113095,0.9851403062,103.1004424,2,0,0,0,28.24518316,85.12939875,0
AC00,Engine2,82,51.88676318,90.62519567,88.7211922,0.9241761175,101.1015845,2,0,0,0,25.44350557,42.35808783,0
AC00,Engine2,84,54.85336212,84.23783041,83.90731972,0.7771391579,98.34677581,0,0,0,0,9.135363816,53.66734238,0
AC00,Engine2,86,56.52501373,91.06433462,84.91281325,1.109610598,107.2416407,1,0,0,0,38.58816633,55.70480226,0
AC00,Engine2,87,59.44971079,93.39622371,92.55043403,0.9763409995,97.06493458,0,0,0,0,37.00411548,87.24131685,0
AC00,Engine2,91,61.79246256,89.12585975,87.37090705,1.04162445,95.40778701,1,0,0,0,5.872934829,65.43714688,0
AC00,Engine2,95,63.79941726,87.46874546,89.82346588,1.329575881,91.20731285,0,0,0,0,27.95477524,43.53981197,0
AC00,Engine2,98,65.28189089,92.80956788,98.53752124,1.012434248,96.7785598,0,0,0,0,11.31409884,68.03237715,0
AC00,Engine2,99,67.67438872,90.16179307,91.25373253,1.357750634,99.62521376,1,0,0,0,14.79616753,55.96358343,0
AC00,Engine2,102,69.22572816,91.23783778,99.79728192,1.129229066,100.1793247,1,0,0,0,27.00134419,27.43701258,0
AC00,Engine2,106,72.00190636,91.08565339,83.53626907,1.165587186,102.3963173,1,0,0,0,24.9380086,66.04678991,0
AC00,Engine2,107,73.02473334,82.51529052,95.59748092,0.6210460706,109.7046485,2,0,0,0,34.97115222,56.47021887,0
AC00,Engine2,110,75.19362768,89.44950911,92.47960741,0.9155035809,97.06130249,0,0,0,0,21.25338672,47.71984522,0
AC00,Engine2,113,75.79190803,92.75107338,98.06593791,1.250239975,96.93268414,0,0,0,0,32.68727492,48.29484969,0
AC00,Engine2,115,77.44824482,93.08724203,85.06941086,1.035090714,104.5987309,2,0,0,0,27.59921469,40.63445894,0
AC00,Engine2,116,78.47686484,86.12590251,92.02198674,1.051381377,104.1221785,1,0,0,0,40.23124077,68.08365066,0
AC00,Engine2,117,80.3880112,80.98605123,86.9962356,0.9801351979,103.9551745,2,0,0,0,19.07606076,47.04013845,0
AC00,Engine2,120,81.02714492,94.08675333,93.62768485,1.192092383,99.89914186,1,0,0,0,18.37376241,68.55898003,0
AC00,Engine2,122,83.30452612,93.84150249,85.93225529,1.362788086,100.7242682,1,0,0,0,18.48163892,60.71098007,0
AC00,Engine2,124,84.94019605,99.91336675,100.6913784,1.254163848,95.16916795,0,0,0,0,19.40258025,82.57537672,0
AC00,Engine2,125,87.26736474,89.83843288,91.92760805,1.201708561,101.1125757,2,0,0,0,30.43483153,75.52381391,0
AC00,Engine2,127,90.03703006,94.35141919,84.43049658,0.6672075522,110.2904961,1,0,0,0,6.390901191,74.95410102,0
AC00,Engine2,130,91.49675812,95.67677616,91.42106586,0.7348489221,101.6910088,1,0,0,0,24.8725585,75.81592824,0
AC00,Engine2,132,94.23148957,87.21090016,93.50871731,0.7765460141,96.83546434,2,0,0,0,20.93725271,63.90793481,0
AC00,Engine2,133,95.00806892,97.30448074,91.40357764,0.9558619018,98.17516904,0,0,0,0,17.26210801,41.33017945,0
AC00,Engine2,136,97.9057559,84.39104092,87.24810521,0.9086833416,97.03929521,2,0,0,0,26.09394795,70.88649936,0
AC00,Engine2,140,100.3809675,86.51333478,99.65150546,0.7690525342,97.15831673,1,0,0,0,9.16593279,81.23224204,0
AC00,Engine2,141,101.7189606,83.38372815,80.38415387,1.180769439,100.7543261,1,0,0,0,29.71688105,37.05353545,0
AC00,Engine2,145,103.2662742,87.82813518,96.10103499,1.289880162,105.5505573,1,0,0,0,25.00699118,62.37383971,0
AC00,Engine2,146,104.5411165,85.75640882,81.11520626,1.025425593,104.314768,1,0,0,0,4.216233451,41.39039883,0
AC00,Engine2,148,106.9545072,89.34003492,86.82910384,0.9857574307,99.04552431,1,0,0,0,29.85315997,48.40999287,0
AC00,Engine2,149,108.4744685,82.69994245,91.44811164,1.019435813,93.43489384,1,0,0,0,33.61965085,69.35099158,0
AC00,Engine2,153,110.7801358,89.47999385,92.18313808,1.352373844,94.60656528,0,0,0,0,31.88838247,67.00173825,0
AC00,Engine2,157,111.7337244,81.32177314,100.7072434,0.7041466994,96.42631643,1,0,0,0,18.72689458,78.77477207,0
AC00,Engine2,158,112.9698888,96.56054269,91.95044813,0.8534267279,107.540605,2,0,0,0,31.1738981,41.99745005,0
AC00,Engine2,160,115.9308942,83.48878244,89.4102286,0.6179447169,102.9164201,0,0,0,0,20.75784435,50.30685957,0
AC00,Engine2,163,118.6156194,97.77940194,101.2241523,0.7573779376,103.2789459,0,0,0,0,28.7159383,58.22403149,0
AC00,Engine2,164,119.3226161,83.57620989,96.70627601,0.6824273666,96.28537741,0,0,0,0,7.452131594,58.14159032,0
AC00,Engine2,167,120.4782762,86.64168828,95.36821171,1.385214756,98.85512759,1,0,0,0,41.54978376,49.43581304,0
AC00,Engine2,171,122.0653446,94.52448239,88.47430866,1.148232338,105.8357079,1,0,0,0,31.91620681,79.29222683,0
AC00,Engine2,172,124.212303,93.88629546,94.44236512,0.9549322961,91.75303774,2,0,0,0,12.49003669,99.089662,0
AC00,Engine2,175,124.7971679,84.52784097,96.46941313,1.21119557,103.5775373,1,0,0,0,12.25931015,81.21060692,0
AC00,Engine2,179,125.5985851,91.52323925,87.29063538,1.186092741,96.04873644,2,0,0,0,33.67765024,64.24548308,0
AC00,Engine2,181,128.2902486,84.50520222,79.47565288,0.7519259669,94.35225126,2,0,0,0,16.9396968,56.98812201,0
AC00,Engine2,184,129.8436411,86.09141035,96.86113563,0.7807964528,96.29438116,1,0,0,0,22.54930382,46.75264132,0
AC00,Engine2,188,130.8892758,89.07428517,87.93725845,1.575761625,96.51472212,0,0,0,0,31.18140595,52.44443279,0
AC00,Engine2,190,131.9659503,87.9276046,90.43839637,1.12072989,96.13572906,1,0,0,0,31.31446294,96.80763261,0
AC00,Engine2,193,133.4565554,95.35780731,98.06295759,1.055417909,98.68007614,1,0,0,0,10.06170359,49.25915819,0
AC00,Engine2,194,136.1784256,92.76308768,96.66085771,0.9206381851,100.5416238,2,0,0,0,43.65003234,72.30723657,0
AC00,Engine2,198,138.0927555,92.65340339,89.88117628,1.00124134,105.1722607,0,0,0,0,15.71730549,68.91553213,0
AC00,Engine2,199,140.7949324,88.35363368,93.76828406,1.306555263,94.96904865,2,0,0,0,22.16890999,46.76958988,0
AC00,Engine2,203,142.6448959,89.67009077,91.36595854,1.06743132,108.0915226,1,0,0,0,23.13627606,53.93001265,0
AC00,Engine2,204,145.0723566,89.19714893,100.6030637,0.8695865416,108.5364028,2,0,0,0,32.32123607,76.201035,0
AC00,Engine2,206,145.9697023,94.51335025,93.33250494,1.237490669,99.96492003,2,0,0,0,23.854097,69.49901253,0
AC00,Engine2,209,148.8810035,87.57068633,98.94310209,0.7841034605,94.02858365,1,0,0,0,34.50502755,54.85536258,0
AC00,Engine2,213,150.7390855,86.96103063,89.9790286,1.450224071,87.83922735,2,0,0,0,14.69282497,59.25350236,0
AC00,Engine2,214,152.7573516,90.23612903,84.77902592,0.8217616,98.17592074,1,0,0,0,22.2310116,59.6191643,0
AC00,Engine2,216,154.9584932,92.01460824,92.21322921,1.177947262,106.0878843,0,0,0,0,22.36678097,53.95065747,0
AC00,Engine2,217,156.8857544,90.13819726,87.63400557,0.8533831454,93.92655184,1,0,0,0,14.9837999,55.78349561,0
AC00,Engine2,220,157.8879022,96.29821056,96.42239443,0.866977942,99.06040476,2,0,0,0,37.65197252,68.39038813,0
AC00,Engine2,223,160.4249649,96.36505788,91.53057528,1.480080332,97.33773741,0,0,0,0,22.01696505,92.45484749,0
